State,Year,emission_value_mlns,energy_value
NC,2012,2.9715567697594905,164772
NC,2013,2.9024395453166485,185881
NC,2014,2.7962937967352732,177290
NC,2015,2.6359505899371563,171807
NC,2016,2.744818920852346,177504
NC,2017,2.6445285311567135,185491
NC,2018,2.548529548897663,195967
NC,2019,2.49473927526896,198559
NC,2020,2.278723061357214,202723
NC,2021,2.5120048292463686,196971
NC,2022,2.277173281437836,198165
NC,2023,2.3690259438092545,186804
ND,2002,1.3535653266249326,10973
ND,2003,1.3820039008644496,12222
ND,2004,1.3445870892933232,12481
ND,2005,1.3431485873336597,12453
ND,2006,1.315994887638373,13204
ND,2007,1.28904232848841,19483
ND,2008,1.2671878209985947,24181
ND,2009,1.302713019859417,35500
ND,2010,1.2703294649263737,44774
ND,2011,1.339650685989717,52448
ND,2012,1.5002320797821267,51187
ND,2013,1.4935653841192826,51321
ND,2014,1.6249640026710455,56212
ND,2015,1.7031136000839278,58245
ND,2016,1.6177536887726909,66369
ND,2017,1.511068496617143,84388
ND,2018,1.670049298614487,83350
ND,2019,1.5807923172814595,84943
ND,2020,1.3823340720551098,89719
ND,2021,1.3130692678629947,92654
ND,2022,1.212768895385911,96025
ND,2023,1.1907121455578105,92154
NE,2002,1.9618685069835904,36743
NE,2003,1.9388233647580715,38713
NE,2004,1.8725295841708165,45845
NE,2005,1.8877383956992568,45290
NE,2006,1.842792051884436,47615
NE,2007,1.7392785416960013,60390
NE,2008,1.6541122772917338,81047
NE,2009,1.593096656544985,81622
NE,2010,1.4943430561876503,122553
NE,2011,1.5376393415329161,127278
NE,2012,1.900124888376852,116977
NE,2013,1.5152775934706408,119962
NE,2014,1.415125406983547,131708
NE,2015,1.3874246111223845,135626
NE,2016,1.4202771354060044,141113
NE,2017,1.4489448148719177,148735
NE,2018,1.5003889455774146,150751
NE,2019,1.4197462514499954,156735
NE,2020,1.3205778395869343,145475
NE,2021,1.412997275728018,158275
NE,2022,1.419754777114469,168382
NE,2023,1.3379098050350888,164503
NH,2002,0.6495598521647877,21187
NH,2003,0.6437945274791689,20915
NH,2004,0.6111086850259282,26241
NH,2005,0.5837769154477455,30647
NH,2006,0.5427980109676624,26107
NH,2007,0.5002891608444001,30292
NH,2008,0.46893350704916104,33083
NH,2009,0.4489066081733194,38879
NH,2010,0.4221185508682845,41375
NH,2011,0.3903353434345653,41591
NH,2012,0.3516844961051371,41482
NH,2013,0.36150391952159056,47802
NH,2014,0.3557514258143385,50560
NH,2015,0.3406304736707476,57118
NH,2016,0.31358457404117224,52756
NH,2017,0.3040406743011036,54900
NH,2018,0.3056271744993347,51627
NH,2019,0.30028106365565116,50985
NH,2020,0.339203184739059,37794
NH,2021,0.3427107733558497,38478
NH,2022,0.3327509016016597,39864
NH,2023,0.3281323668012427,38989
NJ,2002,2.6268433797724122,28639
NJ,2003,2.512631942189029,26452
NJ,2004,2.397433875681854,27265
NJ,2005,2.271283022678663,29087
NJ,2006,2.126179323511878,47693
NJ,2007,1.964605321454324,52973
NJ,2008,1.8050961370867098,50295
NJ,2009,1.6639376189917556,65510
NJ,2010,1.5107051906181685,72325
NJ,2011,1.385425488471691,72031
NJ,2012,1.335048320034771,70937
NJ,2013,1.3262898299135801,77873
NJ,2014,1.2986002317598353,80738
NJ,2015,1.2286676822046498,70278
NJ,2016,1.1342947174748677,73768
NJ,2017,1.091520247759445,69318
NJ,2018,1.06003603339406,69202
NJ,2019,1.089226418376093,67919
NJ,2020,1.0059418402799911,66790
NJ,2021,1.0655349961345695,70039
NJ,2022,1.019551071373432,73188
NJ,2023,1.0169106700449697,74409
NM,2002,2.2459788556656157,6408
NM,2003,2.1636805940043793,6377
NM,2004,1.8987555670209315,7421
NM,2005,1.7701035512534635,17320
NM,2006,1.801941010188247,19069
NM,2007,1.551463832276707,21446
NM,2008,1.565188511771827,24258
NM,2009,1.5306006438672044,21877
NM,2010,1.3240825189153587,26938
NM,2011,1.9213981792799548,28302
NM,2012,1.5460118018377205,28068
NM,2013,1.2846024344778668,29528
NM,2014,1.1892025737258838,29709
NM,2015,1.148732320020868,31414
NM,2016,1.420053277640613,37378
NM,2017,1.469662951447371,41939
NM,2018,1.6036561429077294,50352
NM,2019,1.2667585589268884,56637
NM,2020,1.477802373295787,49823
NM,2021,1.7614051818328926,62209
NM,2022,3.8119313804484922,77285
NM,2023,1.670136180925756,80278
NV,2002,1.1634274605861197,19515
NV,2003,1.1316457012803485,18194
NV,2004,1.219993745370072,18742
NV,2005,1.4286078016263974,18601
NV,2006,1.444643392938383,19724
NV,2007,1.2491741491132549,20507
NV,2008,1.035384252662017,23030
NV,2009,0.8675996055682422,26856
