Year,State,Category,Type,Vehicles
1904,Connecticut,Bus,,0
1904,Connecticut,Truck,,10
1904,Connecticut,Motorcycle,,0
1904,Delaware,Auto,,150
1904,Delaware,Bus,,0
1904,Delaware,Truck,,0
1904,Delaware,Motorcycle,,0
1904,District of Columbia,Auto,,710
1904,District of Columbia,Bus,,0
1904,District of Columbia,Truck,,20
1904,District of Columbia,Motorcycle,,0
1904,Florida,Auto,,90
1904,Florida,Bus,,0
1904,Florida,Truck,,0
1904,Florida,Motorcycle,,0
1904,Georgia,Auto,,530
1904,Georgia,Bus,,0
1904,Georgia,Truck,,0
